forename,males,females,total
anjulie,0,3,3
anjum,5,2,12
anke,0,3,7
anki,0,2,3
ankit,24,0,44
ankita,0,9,17
ankur,35,0,63
ankush,7,0,15
anmol,1,1,9
ann,1,661,1150
anna,1,1360,2985
annabel,0,12,39
annabella,0,5,11
annabelle,0,32,61
annah,0,2,2
anna-kay,0,4,4
anna-kaye,0,2,2
annalee,0,2,4
anna-lena,0,3,5
annaliese,0,2,5
annalisa,0,21,46
anna-lisa,0,2,7
annalise,0,2,11
annaly,0,2,2
annamae,0,2,3
annamaria,0,29,53
anna-maria,0,2,6
annamarie,0,31,45
anna-marie,0,4,6
annarose,0,2,5
annastasia,0,4,4
annazette,0,2,2
anndrew,2,0,2
anne,3,733,1453
annecia,0,2,2
anneka,0,2,10
anneke,0,3,10
annel,1,4,8
anne-laure,0,4,15
anneli,0,5,6
annelies,0,2,6
anneliese,0,3,14
annelise,0,5,15
annelle,0,2,5
annelyn,0,2,2
annemarie,0,57,115
anne-marie,0,17,52
anne-michelle,0,2,2
annemieke,0,2,3
anneris,0,4,7
anne-rose,0,2,2
anne-sophie,0,4,9
annet,0,6,10
annetta,0,3,6
annette,0,372,618
anni,0,10,24
annia,0,6,7
annica,0,3,6
annick,0,7,14
annie,0,462,1056
annika,0,19,47
annis,0,4,5
annisha,0,3,3
annisia,0,2,2
ann-margaret,0,2,4
annmarie,2,146,260
ann-marie,0,32,51
annu,0,3,7
anny,0,37,79
anoop,13,0,16
anoosh,2,0,2
anouchka,0,2,3
anouck,0,2,4
anoush,0,2,4
anoushka,0,3,6
anowar,3,0,3
anri,2,0,4
ansa,0,2,3
ansar,2,0,4
ansara,0,2,3
ansel,6,0,13
anselm,6,0,7
anselma,0,2,2
anselmo,6,0,7
anshu,1,4,8
anshul,8,1,12
anshuman,4,0,7
ansil,1,1,2
anslem,2,0,4
ansley,0,4,7
anson,15,0,27
ant,16,0,38
antar,3,0,3
antares,1,1,2
antasha,0,2,3
antaya,0,2,2
ante,7,0,15
anteo,2,0,2
antero,2,0,2
anthe,0,2,3
anthea,0,15,27
anthi,0,2,5
anthon,4,0,5
anthoney,3,0,4
anthoni,2,0,3
anthonia,0,2,5
anthony,3576,4,6071
antia,0,4,4
antimo,2,0,2
antione,3,0,6
antionette,0,10,12
antje,0,5,7
anto,2,0,3
antoin,2,0,4
antoine,124,0,212
antoinette,0,197,358
anton,131,1,215
antone,2,0,5
antoneil,2,0,2
antonella,0,53,106
antonello,2,0,3
antoneta,0,3,5
antonette,0,20,25
antoni,4,0,5
antonia,0,94,175
antonieta,0,4,5
antonietta,0,14,27
antonin,3,0,4
antonina,0,6,16
antonino,16,0,22
antonio,516,1,822
antonios,2,0,7
antonis,8,0,10
antony,38,0,63
antuan,2,0,3
antuanette,0,2,3
antulio,2,0,2
antwain,2,0,2
antwan,23,0,29
antwann,4,0,4
antwaun,3,0,3
antwoine,2,0,3
antwon,7,0,15
antz,2,0,2
anu,6,23,65
anuar,4,0,6
anubhav,4,0,5
anuj,26,0,42
anuja,0,3,9
anuki,0,2,2
anum,0,3,7
anup,10,0,21
anupa,0,2,5
anupam,5,0,13
anupama,1,6,14
anuradha,0,5,12
anurag,16,0,23
anush,2,1,5
anusha,0,8,11
anushka,1,6,10
anushree,0,3,5
anvar,2,1,4
anwar,21,0,37
anxhela,0,2,2
any,0,7,9
anya,0,59,142
anyah,0,2,2
anyeli,0,2,2
anyelina,0,2,5
anyelo,4,0,5
anzhela,0,4,4
anzhelika,0,2,3
ao,1,1,4
aoi,0,2,3
aoife,0,10,21
ap,3,1,6
aparna,0,9,28
apathy,1,1,2
aphrodite,0,2,4
apollo,3,0,3
apollon,2,0,2
apollonia,0,3,6
apolonia,0,3,4
