author,female,source
w3213.1,1,1
w3214.1,0,1
w3215.1,1,1
w3215.3,1,1
w3219.1,0,0
w3223.1,0,1
w3223.2,0,1
w3226.2,0,1
w3237.2,0,1
w3239.2,0,0
w3241.1,0,1
w3241.2,0,1
w3245.1,0,1
w3251.3,0,1
w3251.4,0,1
w3262.1,0,1
w3274.1,0,1
w3280.2,1,1
w3282.1,1,1
w3283.1,0,1
w3287.1,0,0
w3290.2,0,1
w3291.1,0,1
w3291.3,0,1
w3292.1,-1,0
w3306.1,0,0
w3309.2,-1,0
w3311.2,0,0
w3314.1,-1,0
w3314.2,0,0
w3317.2,0,1
w3318.2,0,1
w3326.2,0,0
w3330.3,0,2
w3335.2,0,1
w3343.4,0,0
w3344.2,0,1
w3344.3,0,1
w3345.2,1,1
w3345.3,1,1
w3346.1,1,1
w3348.1,0,0
w3348.2,0,1
w3348.3,0,1
w3349.1,0,1
w3350.2,0,0
w3352.2,0,1
w3357.1,0,1
w3363.2,0,2
w3367.1,0,1
w3369.3,1,0
w3370.1,0,0
w3375.1,0,1
w3381.2,0,1
w3384.1,0,1
w3385.1,0,1
w3385.3,1,1
w3386.1,0,1
w3389.1,0,1
w3392.1,0,1
w3392.2,0,1
w3396.1,1,1
w3396.3,1,1
w3399.2,0,1
w3401.1,1,1
w3404.2,0,0
w3406.1,1,0
w3408.2,0,1
w3409.1,0,1
w3414.3,0,1
w3417.2,1,1
w3417.3,0,1
w3423.2,0,1
w3428.2,1,1
w3430.2,0,1
w3431.1,0,1
w3433.2,0,1
w3438.1,0,0
w3438.3,0,0
w3440.2,0,1
w3442.2,1,1
w3443.2,0,1
w3447.2,1,1
w3448.2,0,0
w3450.1,0,1
w3452.3,0,1
w3453.1,0,1
w3453.3,0,1
w3455.2,0,1
w3456.1,0,1
w3458.2,1,1
w3458.3,1,1
w3461.2,0,1
w3462.1,1,1
w3463.1,0,1
w3464.1,1,1
w3465.2,0,1
w3467.1,0,1
w3471.1,0,1
w3473.1,0,1
w3473.2,0,1
w3475.1,0,1
w3477.1,0,1
w3479.2,0,1
w3484.1,0,1
w3488.2,0,1
w3490.2,0,1
w3491.2,1,0
w3494.2,0,1
w3498.1,0,1
w3510.1,0,0
w3511.2,0,0
w3512.1,0,1
w3513.2,0,1
w3517.1,0,1
w3520.1,0,1
w3528.1,0,1
